orderkey,partkey,suppkey,linenumber,quantity,extendedprice,sale,returnflag,linestatus,shipdate,commitdate,receiptdate,shipinstruct,shipmode,comment
184,167,1,2,40,98488.65,0.01,A,F,3/2/1994,3/1/1994,7/27/1998,DELIVER IN PERSON,REG AIR,line comment 1
434,58,8,3,29,53274.77,0,A,F,9/19/1997,4/14/1994,3/13/1995,TAKE BACK RETURN,RAIL,line comment 2
16,96,4,4,23,101580.46,0.1,A,F,6/10/1997,1/2/1996,12/20/1995,NONE,AIR,line comment 3
32,7,3,5,27,70956.95,0,R,F,5/14/1993,10/4/1996,11/30/1994,TAKE BACK RETURN,MAIL,line comment 4
106,148,7,6,36,102191.67,0.04,N,F,5/31/1997,12/13/1994,7/10/1997,NONE,FOB,line comment 5
243,162,10,7,11,46411.64,0.01,R,F,8/28/1998,10/14/1994,8/13/1996,COLLECT COD,RAIL,line comment 6
57,159,9,1,6,3567.87,0,N,F,9/19/1994,4/14/1993,6/19/1994,TAKE BACK RETURN,REG AIR,line comment 7
609,50,9,2,41,81808.21,0.02,N,F,6/28/1995,12/3/1995,7/31/1993,NONE,RAIL,line comment 8
1221,32,2,3,10,66184.92,0.01,N,F,2/24/1998,12/10/1995,1/10/1995,DELIVER IN PERSON,RAIL,line comment 9
1006,6,7,4,32,88783.09,0.04,N,F,2/17/1994,11/9/1993,5/12/1995,TAKE BACK RETURN,TRUCK,line comment 10
612,3,3,5,21,66821.06,0.1,A,O,1/7/1995,4/26/1994,11/5/1996,NONE,TRUCK,line comment 11
522,32,4,6,40,63329.26,0,A,O,11/8/1998,4/5/1993,10/23/1998,COLLECT COD,MAIL,line comment 12
284,57,2,7,24,12843.74,0.04,A,O,9/3/1996,1/2/1996,1/26/1996,TAKE BACK RETURN,MAIL,line comment 13
894,132,7,1,6,37166.98,0.05,N,F,7/24/1998,12/10/1994,3/22/1995,NONE,TRUCK,line comment 14
1479,125,7,2,7,61628.6,0.05,R,F,4/24/1995,1/18/1996,7/29/1996,DELIVER IN PERSON,FOB,line comment 15
921,43,1,3,25,45570.02,0.06,A,F,9/21/1993,8/6/1997,4/17/1996,NONE,TRUCK,line comment 16
733,63,2,4,2,12829.33,0.06,N,F,2/1/1995,3/4/1997,8/18/1994,NONE,RAIL,line comment 17
954,146,6,5,1,34049.2,0,N,O,5/26/1995,4/29/1997,3/7/1996,COLLECT COD,FOB,line comment 18
1176,166,7,6,14,11608.85,0.05,A,F,11/3/1993,7/25/1996,8/4/1996,COLLECT COD,MAIL,line comment 19
863,31,2,7,4,84423.56,0.1,R,O,1/30/1996,8/31/1996,4/18/1997,COLLECT COD,FOB,line comment 20
269,104,1,1,2,30558.09,0,A,O,3/10/1996,10/13/1996,3/8/1993,DELIVER IN PERSON,TRUCK,line comment 21
650,193,6,2,7,87245.92,0.08,R,O,1/31/1996,7/6/1996,7/16/1998,DELIVER IN PERSON,TRUCK,line comment 22
